autono,stor,kind,color,farz,unit,no_s,da_s,to,name,qu_s,pr_s,pr_sd,d,no_i,pr_sa,a,bonus,det,da_exp,qu_s2,mandob,pr_c,marg,da_st,serfrom,serto,duration,duration2,company,da_expcode,aimname,d2,prn,closed,sorttime,qu2,kindtel,exported
1637291487,"رئيسى","عام","لا","لا","قطعة",1.0000000000000000e+00,"11/18/21 00:00:00","ماهر عرام","عجانه استيل الوان",6.0000000000000000e+00,1.4500000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,"1",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,"01/01/00 00:00:00",0.0000000000000000e+00,"اسم المدير",0.0000000000000000e+00,0.0000000000000000e+00,"12/30/99 19:11:27",,,0.0000000000000000e+00,,,1,1,0.0000000000000000e+00,"0","0","12/30/99 19:11:27",1.0000,"مورد","0"
1815382821,"رئيسى","عام","لا","لا","قطعة",1.0000000000000000e+00,"11/18/21 00:00:00","ماهر عرام","ثلاجة استيل بيد سيلكون",6.0000000000000000e+00,1.1500000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,"1",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,"01/01/00 00:00:00",0.0000000000000000e+00,"اسم المدير",0.0000000000000000e+00,0.0000000000000000e+00,"12/30/99 19:12:05",,,0.0000000000000000e+00,,,1,1,0.0000000000000000e+00,"0","0","12/30/99 19:12:05",1.0000,"مورد","0"
149613837,"رئيسى","عام","لا","لا","قطعة",2.0000000000000000e+00,"12/10/21 00:00:00","الحداد","بابيلا حله تحمير جرانيت 24",4.0000000000000000e+00,3.0000000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,"2",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,"01/01/00 00:00:00",0.0000000000000000e+00,"اسم المدير",0.0000000000000000e+00,0.0000000000000000e+00,"12/30/99 20:27:32",,,0.0000000000000000e+00,,,1,1,0.0000000000000000e+00,"0","0","12/30/99 20:27:32",1.0000,"مورد","0"
1686460746,"رئيسى","عام","لا","لا","قطعة",2.0000000000000000e+00,"12/10/21 00:00:00","الحداد","مقلايه جرانيت بابيلا 22",5.0000000000000000e+00,1.2000000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,"2",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,"01/01/00 00:00:00",0.0000000000000000e+00,"اسم المدير",0.0000000000000000e+00,0.0000000000000000e+00,"12/30/99 20:28:12",,,0.0000000000000000e+00,,,1,1,0.0000000000000000e+00,"0","0","12/30/99 20:28:12",1.0000,"مورد","0"
-634835453,"رئيسى","عام","لا","لا","قطعة",2.0000000000000000e+00,"12/10/21 00:00:00","الحداد","مقلايه جرانيت بابيلا 24",6.0000000000000000e+00,1.4000000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,"2",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,"01/01/00 00:00:00",0.0000000000000000e+00,"اسم المدير",0.0000000000000000e+00,0.0000000000000000e+00,"12/30/99 20:28:57",,,0.0000000000000000e+00,,,1,1,0.0000000000000000e+00,"0","0","12/30/99 20:28:57",1.0000,"مورد","0"
173262984,"رئيسى","عام","لا","لا","قطعة",2.0000000000000000e+00,"12/10/21 00:00:00","الحداد","مقلايه جرانيت بابيلا 26",6.0000000000000000e+00,1.6500000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,"2",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,"01/01/00 00:00:00",0.0000000000000000e+00,"اسم المدير",0.0000000000000000e+00,0.0000000000000000e+00,"12/30/99 20:29:16",,,0.0000000000000000e+00,,,1,1,0.0000000000000000e+00,"0","0","12/30/99 20:29:16",1.0000,"مورد","0"
-1864077335,"رئيسى","عام","لا","لا","طقم",2.0000000000000000e+00,"12/10/21 00:00:00","الحداد","بابيلا طقم صوانى فرن تيفال 3 ق",2.0000000000000000e+00,3.5000000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,"2",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,"01/01/00 00:00:00",0.0000000000000000e+00,"اسم المدير",0.0000000000000000e+00,0.0000000000000000e+00,"12/30/99 20:29:34",,,0.0000000000000000e+00,,,1,1,0.0000000000000000e+00,"0","0","12/30/99 20:29:34",1.0000,"مورد","0"
-504167946,"رئيسى","عام","لا","لا","قطعة",2.0000000000000000e+00,"12/10/21 00:00:00","الحداد","بابيلا طاجن جرانيت 2 ق",1.0000000000000000e+00,4.0500000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,"2",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,"01/01/00 00:00:00",0.0000000000000000e+00,"اسم المدير",0.0000000000000000e+00,0.0000000000000000e+00,"12/30/99 20:30:05",,,0.0000000000000000e+00,,,1,1,0.0000000000000000e+00,"0","0","12/30/99 20:30:05",1.0000,"مورد","0"
989486143,"رئيسى","عام","لا","لا","قطعة",2.0000000000000000e+00,"12/10/21 00:00:00","الحداد","مقلايه ووك جرانيت 28",6.0000000000000000e+00,1.9500000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,"2",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,"01/01/00 00:00:00",0.0000000000000000e+00,"اسم المدير",0.0000000000000000e+00,0.0000000000000000e+00,"12/30/99 20:30:37",,,0.0000000000000000e+00,,,1,1,0.0000000000000000e+00,"0","0","12/30/99 20:30:37",1.0000,"مورد","0"
1638060308,"رئيسى","عام","لا","لا","طقم",2.0000000000000000e+00,"12/10/21 00:00:00","الحداد","توزيع استيل الحداد لوكس",6.0000000000000000e+00,5.6500000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,"2",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,"01/01/00 00:00:00",0.0000000000000000e+00,"اسم المدير",0.0000000000000000e+00,0.0000000000000000e+00,"12/30/99 20:34:27",,,0.0000000000000000e+00,,,1,1,0.0000000000000000e+00,"0","0","12/30/99 20:34:27",1.0000,"مورد","0"
1383512197,"رئيسى","عام","لا","لا","طقم",2.0000000000000000e+00,"12/10/21 00:00:00","الحداد","توزيع استيل الحداد سوبر لوكس دهبى",6.0000000000000000e+00,5.9500000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,"2",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,"01/01/00 00:00:00",0.0000000000000000e+00,"اسم المدير",0.0000000000000000e+00,0.0000000000000000e+00,"12/30/99 20:34:51",,,0.0000000000000000e+00,,,1,1,0.0000000000000000e+00,"0","0","12/30/99 20:34:51",1.0000,"مورد","0"
1894116706,"رئيسى","عام","لا","لا","طقم",2.0000000000000000e+00,"12/10/21 00:00:00","الحداد","توزيع استيل الحداد اسود",2.0000000000000000e+00,6.8500000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,"2",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,"01/01/00 00:00:00",0.0000000000000000e+00,"اسم المدير",0.0000000000000000e+00,0.0000000000000000e+00,"12/30/99 20:35:08",,,0.0000000000000000e+00,,,1,1,0.0000000000000000e+00,"0","0","12/30/99 20:35:08",1.0000,"مورد","0"
1513145915,"رئيسى","عام","لا","لا","طقم",2.0000000000000000e+00,"12/10/21 00:00:00","الحداد","توزيع استيل الحداد دهبى دهبى",4.0000000000000000e+00,6.8000000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,"2",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,"01/01/00 00:00:00",0.0000000000000000e+00,"اسم المدير",0.0000000000000000e+00,0.0000000000000000e+00,"12/30/99 20:35:20",,,0.0000000000000000e+00,,,1,1,0.0000000000000000e+00,"0","0","12/30/99 20:35:20",1.0000,"مورد","0"
1416354400,"رئيسى","عام","لا","لا","علبه",2.0000000000000000e+00,"12/10/21 00:00:00","الحداد","سكينه ارشا الحداد",2.0000000000000000e+00,6.1000000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,"2",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,"01/01/00 00:00:00",0.0000000000000000e+00,"اسم المدير",0.0000000000000000e+00,0.0000000000000000e+00,"12/30/99 20:36:28",,,0.0000000000000000e+00,,,1,1,0.0000000000000000e+00,"0","0","12/30/99 20:36:28",1.0000,"مورد","0"
-2022660735,"رئيسى","عام","لا","لا","قطعة",3.0000000000000000e+00,"02/18/22 00:00:00","ماهر عرام","مج شوربة مستورد 6 ق",4.0000000000000000e+00,2.0000000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,"3",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,"01/01/00 00:00:00",0.0000000000000000e+00,"اسم المدير",0.0000000000000000e+00,0.0000000000000000e+00,"12/30/99 20:42:44",,,0.0000000000000000e+00,,,1,1,0.0000000000000000e+00,"0","0","12/30/99 20:42:44",1.0000,"مورد","0"
1645418304,"رئيسى","عام","لا","لا","قطعة",4.0000000000000000e+00,"02/20/22 00:00:00","محمد شومان","صنيه ارشا ك",1.0000000000000000e+00,6.0000000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,"4",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,"01/01/00 00:00:00",0.0000000000000000e+00,"اسم المدير",0.0000000000000000e+00,0.0000000000000000e+00,"12/30/99 20:38:24",,,0.0000000000000000e+00,,,1,1,0.0000000000000000e+00,"0","0","12/30/99 20:38:24",1.0000,"مورد","0"
1669996009,"رئيسى","عام","لا","لا","قطعه",6.0000000000000000e+00,"03/06/22 00:00:00","محمد مجدى","صنيه استيل عادى",5.0000000000000000e+00,2.1500000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,"5",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,"01/01/00 00:00:00",0.0000000000000000e+00,"اسم المدير",0.0000000000000000e+00,0.0000000000000000e+00,"12/30/99 17:46:49",,,0.0000000000000000e+00,,,1,1,0.0000000000000000e+00,"0","0","12/30/99 17:46:49",6.0000,"مورد","0"
